"","literature.path","explained.by"
"69","MEK1(MAP2K1)->ErbB4","NF"
"70","MEK1(MAP2K1)->Huntingtin","NF"
"71","MEK1(MAP2K1)->ETS1","NF"
"72","MEK1(MAP2K1)->M-Ras","NF"
"73","MEK1(MAP2K1)->Beta-catenin","NF"
"74","MEK1(MAP2K1)->Sirtuin1","NF"
"75","MEK1(MAP2K1)->H-Ras","NF"
"76","MEK1(MAP2K1)->JNK2(MAPK9)","NF"
"77","MEK1(MAP2K1)->p53","NF"
"78","MEK1(MAP2K1)->Oct-3/4","NF"
"79","MEK1(MAP2K1)->AML1 (RUNX1)","NF"
"80","MEK1(MAP2K1)->PAK1","NF"
"81","MEK1(MAP2K1)->KLF5","NF"
"82","MEK1(MAP2K1)->HSP70","NF"
"83","MEK1(MAP2K1)->SIK","NF"
"84","MEK1(MAP2K1)->TFIIB","NF"
"85","MEK1(MAP2K1)->Cyclin B1","NF"
"86","MEK1(MAP2K1)->AFX1","NF"
"87","MEK1(MAP2K1)->VIL2 (ezrin)","NF"
"88","MEK1(MAP2K1)->CARM1","NF"
"89","MEK1(MAP2K1)->TC21","NF"
"90","MEK1(MAP2K1)->LEPR","NF"
"91","MEK1(MAP2K1)->GRB2","NF"
"92","MEK1(MAP2K1)->ATP1A1","NF"
"93","MEK1(MAP2K1)->MEK1/2","NF"
"94","MEK1(MAP2K1)->MITF","NF"
"95","MEK1(MAP2K1)->MUC1","NF"
"96","MEK1(MAP2K1)->ErbB3","NF"
"97","MEK1(MAP2K1)->Itch","NF"
"98","MEK1(MAP2K1)->LRP6","NF"
"99","MEK1(MAP2K1)->EGR1","NF"
"100","MEK1(MAP2K1)->PP1-cat","NF"
"101","MEK1(MAP2K1)->GSK3A","NF"
"102","MEK1(MAP2K1)->c-Fos","NF"
"103","MEK1(MAP2K1)->YB-1","NF"
"104","MEK1(MAP2K1)->PTEN","NF"
"105","MEK1(MAP2K1)->N-Myc","NF"
"106","MEK1(MAP2K1)->PIK3C3","NF"
"107","MEK1(MAP2K1)->IRS-1","NF"
"108","MEK1(MAP2K1)->JunB","NF"
"109","MEK1(MAP2K1)->RelB (NF-kB subunit)","NF"
"110","MEK1(MAP2K1)->Bcl-3","NF"
"111","MEK1(MAP2K1)->BMAL1","NF"
"112","MEK1(MAP2K1)->YY1","NF"
"113","MEK1(MAP2K1)->Aurora-A","NF"
"114","MEK1(MAP2K1)->ERK1 (MAPK3)","NF"
"115","MEK1(MAP2K1)->c-Jun","NF"
"116","MEK1(MAP2K1)->K-RAS","NF"
"117","MEK1(MAP2K1)->Synapsin I","NF"
"118","MEK1(MAP2K1)->PSD-95","NF"
"119","MEK1(MAP2K1)->DNA-PK","NF"
"120","MEK1(MAP2K1)->Laforin","NF"
"121","MEK1(MAP2K1)->CBP","NF"
"122","MEK1(MAP2K1)->Calpain 2(m)","NF"
"123","MEK1(MAP2K1)->STAT5B","NF"
"124","MEK1(MAP2K1)->PKC-delta","NF"
"125","MEK1(MAP2K1)->STAT1","NF"
"126","MEK1(MAP2K1)->MMP-2","NF"
"127","MEK1(MAP2K1)->REV-ERBalpha","NF"
"128","MEK1(MAP2K1)->PKC-alpha","NF"
"129","MEK1(MAP2K1)->Axin1","NF"
"130","MEK1(MAP2K1)->PKA-cat alpha","NF"
"131","MEK1(MAP2K1)->PI-TP","NF"
"132","MEK1(MAP2K1)->NR2B","NF"
"133","MEK1(MAP2K1)->Plectin 1","NF"
"134","MEK1(MAP2K1)->PtdIns(345)P3+H(2)O = PO(4)('3-)+PtdIns(45)P2","NF"
"135","MEK1(MAP2K1)->Rac1","NF"
"136","MEK1(MAP2K1)->TGF-alpha","NF"
"137","MEK1(MAP2K1)->IGF-1 receptor","NF"
"138","MEK1(MAP2K1)->IKK (cat)","NF"
"139","MEK1(MAP2K1)->JAK2","NF"
"140","MEK1(MAP2K1)->SOS","NF"
"141","MEK1(MAP2K1)->PDK (PDPK1)","NF"
"142","MEK1(MAP2K1)->Shc","NF"
"143","MEK1(MAP2K1)->I-kB","NF"
"144","MEK1(MAP2K1)->APC protein","NF"
"145","MEK1(MAP2K1)->Axin","NF"
"146","MEK1(MAP2K1)->FRAT1","NF"
"147","MEK1(MAP2K1)->HSF1","NF"
"148","MEK1(MAP2K1)->IKK-gamma","NF"
"149","MEK1(MAP2K1)->A-Raf-1","NF"
"150","MEK1(MAP2K1)->ERK1/2","NF"
"151","MEK1(MAP2K1)->ERK5 (MAPK7)","NF"
"152","MEK1(MAP2K1)->Kinase MYT1","NF"
"153","MEK1(MAP2K1)->CDC25B","NF"
"154","MEK1(MAP2K1)->Gephyrin","NF"
"155","MEK1(MAP2K1)->RIPK1","NF"
"156","MEK1(MAP2K1)->RAP-1A","NF"
"157","MEK1(MAP2K1)->VAV-2","NF"
"158","MEK1(MAP2K1)->p120GAP","NF"
"159","MEK1(MAP2K1)->ErbB2","NF"
"160","MEK1(MAP2K1)->R-Ras","NF"
"161","MEK1(MAP2K1)->CDC42","NF"
"162","MEK1(MAP2K1)->JAK1","NF"
"163","MEK1(MAP2K1)->SP1","NF"
"164","MEK1(MAP2K1)->TCF7L2 (TCF4)","NF"
"165","MEK1(MAP2K1)->Amphiregulin","NF"
"166","MEK1(MAP2K1)->ILK","NF"
"167","MEK1(MAP2K1)->Paxillin","NF"
"168","MEK1(MAP2K1)->SHP-2","NF"
"169","MEK1(MAP2K1)->Securin","NF"
"170","MEK1(MAP2K1)->Raptor","NF"
"171","MEK1(MAP2K1)->SynGAP","NF"
"172","MEK1(MAP2K1)->RHEB2","NF"
"173","MEK1(MAP2K1)->AFAP","NF"
"174","MEK1(MAP2K1)->Progesterone receptor","NF"
"175","MEK1(MAP2K1)->PP2A catalytic","NF"
"176","MEK1(MAP2K1)->Talin","NF"
"177","MEK1(MAP2K1)->Prolactin receptor","NF"
"178","MEK1(MAP2K1)->CDC25A","NF"
"179","MEK1(MAP2K1)->CDC25C","NF"
"180","MEK1(MAP2K1)->RIPK2","NF"
"181","MEK1(MAP2K1)->PKC-eta","NF"
"182","MEK1(MAP2K1)->Rictor","NF"
"183","MEK1(MAP2K1)->ESPL1","NF"
"184","MEK1(MAP2K1)->PKC-theta","NF"
"185","MEK1(MAP2K1)->NF-kB2 (p52)","NF"
"186","MEK1(MAP2K1)->WDR3","NF"
"187","MEK1(MAP2K1)->G-protein alpha-i2","NF"
"188","MEK1(MAP2K1)->RXR","NF"
"189","MEK1(MAP2K1)->PKC-epsilon","NF"
"190","MEK1(MAP2K1)->GRP78","NF"
"191","MEK1(MAP2K1)->PKC-mu","NF"
"192","MEK1(MAP2K1)->NF-kB1 (p50)","NF"
"193","MEK1(MAP2K1)->STAT5A","NF"
"194","MEK1(MAP2K1)->COL1A2","NF"
"195","MEK1(MAP2K1)->TRUB2","NF"
"196","MEK1(MAP2K1)->Lef-1","NF"
"197","MEK1(MAP2K1)->BRG1","NF"
"198","MEK1(MAP2K1)->PKC-lambda/iota","NF"
"199","C/EBPalpha->MEK1(MAP2K1)","NF"
"200","C/EBPalpha->MTOR","NF"
"201","C/EBPalpha->GSK3B","NF"
"202","C/EBPalpha->NF-kB","NF"
"203","C/EBPalpha->CREB1","NF"
"204","C/EBPalpha->ADAM17","NF"
"205","C/EBPalpha->RelA (p65 NF-kB subunit)","NF"
"206","C/EBPalpha->PRKAA1","NF"
"207","C/EBPalpha->SRC","NF"
"208","C/EBPalpha->ITGB4","NF"
"209","C/EBPalpha->E2F1","NF"
"210","C/EBPalpha->STK11","NF"
"211","C/EBPalpha->SREBP1 (nuclear)","NF"
"212","C/EBPalpha->FAP-1","NF"
"213","C/EBPalpha->c-IAP2","NF"
"214","C/EBPalpha->FOXO3A","NF"
"215","C/EBPalpha->PKA-cat (cAMP-dependent)","NF"
"216","C/EBPalpha->RPS6KB1","NF"
"217","C/EBPalpha->CaMKK2","NF"
"218","C/EBPalpha->DEPTOR","NF"
"219","C/EBPalpha->CDK1 (p34)","NF"
"220","C/EBPalpha->STAT3","NF"
"221","C/EBPalpha->MLK3(MAP3K11)","NF"
"222","C/EBPalpha->EGFR","NF"
"223","C/EBPalpha->p90Rsk","NF"
"224","C/EBPalpha->GSK3A/beta","NF"
"225","C/EBPalpha->TSC2","NF"
"226","C/EBPalpha->NF-AT1(NFATC2)","NF"
"227","C/EBPalpha->C/EBPbeta","NF"
"228","C/EBPalpha->c-Abl","NF"
"229","C/EBPalpha->p300","NF"
"230","C/EBPalpha->AKT(PKB)","NF"
"231","C/EBPalpha->BCL10","NF"
"232","C/EBPalpha->RPS6KA1","NF"
"233","C/EBPalpha->SRF","NF"
"234","C/EBPalpha->RACK1","NF"
"235","C/EBPalpha->ESR1 (nuclear)","NF"
"236","C/EBPalpha->TSC1","NF"
"237","C/EBPalpha->NCOA1 (SRC1)","NF"
"238","C/EBPalpha->MEK2(MAP2K2)","NF"
"239","C/EBPalpha->Cyclin D","NF"
"240","C/EBPalpha->HSP40","NF"
"241","C/EBPalpha->NF-AT2(NFATC1)","NF"
"242","C/EBPalpha->HNF4-alpha","NF"
"243","C/EBPalpha->c-Myc","NF"
"244","C/EBPalpha->NCOA3 (pCIP/SRC3)","NF"
"245","C/EBPalpha->GCR-alpha","NF"
"246","C/EBPalpha->Androgen receptor","NF"
"247","C/EBPalpha->PAX3","NF"
"248","C/EBPalpha->B-Raf","NF"
"249","C/EBPalpha->PLK1","NF"
"250","C/EBPalpha->RAF1","NF"
"251","C/EBPalpha->RARalpha","NF"
"252","C/EBPalpha->NRF2","NF"
"253","C/EBPalpha->ESR2","NF"
"254","C/EBPalpha->p73","NF"
"255","C/EBPalpha->NOTCH1 (NICD)","NF"
"256","C/EBPalpha->AKT1","NF"
"257","C/EBPalpha->FAK1","NF"
"258","C/EBPalpha->p70 S6 kinase2","NF"
"259","C/EBPalpha->IKK-beta","NF"
"260","C/EBPalpha->Wee1B","NF"
"261","C/EBPalpha->IQGAP1","NF"
"262","C/EBPalpha->Cyclin D1","NF"
"263","C/EBPalpha->PKC-zeta","NF"
"264","C/EBPalpha->p90RSK2(RPS6KA3)","NF"
"265","C/EBPalpha->PRKAB1","NF"
"266","C/EBPalpha->ERK2 (MAPK1)","NF"
"267","C/EBPalpha->ErbB4","NF"
"268","C/EBPalpha->Huntingtin","NF"
"269","C/EBPalpha->ETS1","NF"
"270","C/EBPalpha->M-Ras","NF"
"271","C/EBPalpha->Beta-catenin","NF"
"272","C/EBPalpha->Sirtuin1","NF"
"273","C/EBPalpha->H-Ras","NF"
"274","C/EBPalpha->JNK2(MAPK9)","NF"
"275","C/EBPalpha->p53","NF"
"276","C/EBPalpha->Oct-3/4","NF"
"277","C/EBPalpha->AML1 (RUNX1)","NF"
"278","C/EBPalpha->PAK1","NF"
"279","C/EBPalpha->KLF5","NF"
"280","C/EBPalpha->HSP70","NF"
"281","C/EBPalpha->SIK","NF"
"282","C/EBPalpha->TFIIB","NF"
"283","C/EBPalpha->Cyclin B1","NF"
"284","C/EBPalpha->AFX1","NF"
"285","C/EBPalpha->VIL2 (ezrin)","NF"
"286","C/EBPalpha->CARM1","NF"
"287","C/EBPalpha->TC21","NF"
"288","C/EBPalpha->LEPR","NF"
"289","C/EBPalpha->GRB2","NF"
"290","C/EBPalpha->ATP1A1","NF"
"291","C/EBPalpha->MEK1/2","NF"
"292","C/EBPalpha->MITF","NF"
"293","C/EBPalpha->MUC1","NF"
"294","C/EBPalpha->ErbB3","NF"
"295","C/EBPalpha->Itch","NF"
"296","C/EBPalpha->LRP6","NF"
"297","C/EBPalpha->EGR1","NF"
"298","C/EBPalpha->PP1-cat","NF"
"299","C/EBPalpha->GSK3A","NF"
"300","C/EBPalpha->c-Fos","NF"
"301","C/EBPalpha->YB-1","NF"
"302","C/EBPalpha->PTEN","NF"
"303","C/EBPalpha->N-Myc","NF"
"304","C/EBPalpha->PIK3C3","NF"
"305","C/EBPalpha->IRS-1","NF"
"306","C/EBPalpha->JunB","NF"
"307","C/EBPalpha->RelB (NF-kB subunit)","NF"
"308","C/EBPalpha->Bcl-3","NF"
"309","C/EBPalpha->BMAL1","NF"
"310","C/EBPalpha->YY1","NF"
"311","C/EBPalpha->Aurora-A","NF"
"312","C/EBPalpha->ERK1 (MAPK3)","NF"
"313","C/EBPalpha->c-Jun","NF"
"314","C/EBPalpha->K-RAS","NF"
"315","C/EBPalpha->Synapsin I","NF"
"316","C/EBPalpha->PSD-95","NF"
"317","C/EBPalpha->DNA-PK","NF"
"318","C/EBPalpha->Laforin","NF"
"319","C/EBPalpha->CBP","NF"
"320","C/EBPalpha->Calpain 2(m)","NF"
"321","C/EBPalpha->STAT5B","NF"
"322","C/EBPalpha->PKC-delta","NF"
"323","C/EBPalpha->STAT1","NF"
"324","C/EBPalpha->MMP-2","NF"
"325","C/EBPalpha->REV-ERBalpha","NF"
"326","C/EBPalpha->PKC-alpha","NF"
"327","C/EBPalpha->Axin1","NF"
"328","C/EBPalpha->PKA-cat alpha","NF"
"329","C/EBPalpha->PI-TP","NF"
"330","C/EBPalpha->NR2B","NF"
"331","C/EBPalpha->Plectin 1","NF"
"332","C/EBPalpha->PtdIns(345)P3+H(2)O = PO(4)('3-)+PtdIns(45)P2","NF"
"333","C/EBPalpha->Rac1","NF"
"334","C/EBPalpha->TGF-alpha","NF"
"335","C/EBPalpha->IGF-1 receptor","NF"
"336","C/EBPalpha->IKK (cat)","NF"
"337","C/EBPalpha->JAK2","NF"
"338","C/EBPalpha->SOS","NF"
"339","C/EBPalpha->PDK (PDPK1)","NF"
"340","C/EBPalpha->Shc","NF"
"341","C/EBPalpha->I-kB","NF"
"342","C/EBPalpha->APC protein","NF"
"343","C/EBPalpha->Axin","NF"
"344","C/EBPalpha->FRAT1","NF"
"345","C/EBPalpha->HSF1","NF"
"346","C/EBPalpha->IKK-gamma","NF"
"347","C/EBPalpha->A-Raf-1","NF"
"348","C/EBPalpha->ERK1/2","NF"
"349","C/EBPalpha->ERK5 (MAPK7)","NF"
"350","C/EBPalpha->Kinase MYT1","NF"
"351","C/EBPalpha->CDC25B","NF"
"352","C/EBPalpha->Gephyrin","NF"
"353","C/EBPalpha->RIPK1","NF"
"354","C/EBPalpha->RAP-1A","NF"
"355","C/EBPalpha->VAV-2","NF"
"356","C/EBPalpha->p120GAP","NF"
"357","C/EBPalpha->ErbB2","NF"
"358","C/EBPalpha->R-Ras","NF"
"359","C/EBPalpha->CDC42","NF"
"360","C/EBPalpha->JAK1","NF"
"361","C/EBPalpha->SP1","NF"
"362","C/EBPalpha->TCF7L2 (TCF4)","NF"
"363","C/EBPalpha->Amphiregulin","NF"
"364","C/EBPalpha->ILK","NF"
"365","C/EBPalpha->Paxillin","NF"
"366","C/EBPalpha->SHP-2","NF"
"367","C/EBPalpha->Securin","NF"
"368","C/EBPalpha->Raptor","NF"
"369","C/EBPalpha->SynGAP","NF"
"370","C/EBPalpha->RHEB2","NF"
"371","C/EBPalpha->AFAP","NF"
"372","C/EBPalpha->Progesterone receptor","NF"
"373","C/EBPalpha->PP2A catalytic","NF"
"374","C/EBPalpha->Talin","NF"
"375","C/EBPalpha->Prolactin receptor","NF"
"376","C/EBPalpha->CDC25A","NF"
"377","C/EBPalpha->CDC25C","NF"
"378","C/EBPalpha->RIPK2","NF"
"379","C/EBPalpha->PKC-eta","NF"
"380","C/EBPalpha->Rictor","NF"
"381","C/EBPalpha->ESPL1","NF"
"382","C/EBPalpha->PKC-theta","NF"
"383","C/EBPalpha->NF-kB2 (p52)","NF"
"384","C/EBPalpha->WDR3","NF"
"385","C/EBPalpha->G-protein alpha-i2","NF"
"386","C/EBPalpha->RXR","NF"
"387","C/EBPalpha->PKC-epsilon","NF"
"388","C/EBPalpha->GRP78","NF"
"389","C/EBPalpha->PKC-mu","NF"
"390","C/EBPalpha->NF-kB1 (p50)","NF"
"391","C/EBPalpha->STAT5A","NF"
"392","C/EBPalpha->COL1A2","NF"
"393","C/EBPalpha->TRUB2","NF"
"394","C/EBPalpha->Lef-1","NF"
"395","C/EBPalpha->BRG1","NF"
"396","C/EBPalpha->PKC-lambda/iota","NF"
"397","MTOR->MEK1(MAP2K1)","NF"
"398","MTOR->C/EBPalpha","NF"
"399","MTOR->GSK3B","NF"
"400","MTOR->NF-kB","NF"
"401","MTOR->CREB1","NF"
"402","MTOR->ADAM17","NF"
"403","MTOR->RelA (p65 NF-kB subunit)","NF"
"404","MTOR->PRKAA1","NF"
"405","MTOR->SRC","NF"
"406","MTOR->ITGB4","NF"
"407","MTOR->E2F1","NF"
"408","MTOR->STK11","NF"
"409","MTOR->SREBP1 (nuclear)","NF"
"410","MTOR->FAP-1","NF"
"411","MTOR->c-IAP2","NF"
"412","MTOR->FOXO3A","NF"
"413","MTOR->PKA-cat (cAMP-dependent)","NF"
"414","MTOR->RPS6KB1","NF"
"415","MTOR->CaMKK2","NF"
"416","MTOR->DEPTOR","NF"
"417","MTOR->CDK1 (p34)","NF"
"418","MTOR->STAT3","NF"
"419","MTOR->MLK3(MAP3K11)","NF"
"420","MTOR->EGFR","NF"
"421","MTOR->p90Rsk","NF"
"422","MTOR->GSK3A/beta","NF"
"423","MTOR->TSC2","NF"
"424","MTOR->NF-AT1(NFATC2)","NF"
"425","MTOR->C/EBPbeta","NF"
"426","MTOR->c-Abl","NF"
"427","MTOR->p300","NF"
"428","MTOR->AKT(PKB)","NF"
"429","MTOR->BCL10","NF"
"430","MTOR->RPS6KA1","NF"
"431","MTOR->SRF","NF"
"432","MTOR->RACK1","NF"
"433","MTOR->ESR1 (nuclear)","NF"
"434","MTOR->TSC1","NF"
"435","MTOR->NCOA1 (SRC1)","NF"
"436","MTOR->MEK2(MAP2K2)","NF"
"437","MTOR->Cyclin D","NF"
"438","MTOR->HSP40","NF"
"439","MTOR->NF-AT2(NFATC1)","NF"
"440","MTOR->HNF4-alpha","NF"
"441","MTOR->c-Myc","NF"
"442","MTOR->NCOA3 (pCIP/SRC3)","NF"
"443","MTOR->GCR-alpha","NF"
"444","MTOR->Androgen receptor","NF"
"445","MTOR->PAX3","NF"
"446","MTOR->B-Raf","NF"
"447","MTOR->PLK1","NF"
"448","MTOR->RAF1","NF"
"449","MTOR->RARalpha","NF"
"450","MTOR->NRF2","NF"
"451","MTOR->ESR2","NF"
"452","MTOR->p73","NF"
"453","MTOR->NOTCH1 (NICD)","NF"
"454","MTOR->AKT1","NF"
"455","MTOR->FAK1","NF"
"456","MTOR->p70 S6 kinase2","NF"
"457","MTOR->IKK-beta","NF"
"458","MTOR->Wee1B","NF"
"459","MTOR->IQGAP1","NF"
"460","MTOR->Cyclin D1","NF"
"461","MTOR->PKC-zeta","NF"
"462","MTOR->p90RSK2(RPS6KA3)","NF"
"463","MTOR->PRKAB1","NF"
"464","MTOR->ERK2 (MAPK1)","NF"
"465","MTOR->ErbB4","NF"
"466","MTOR->Huntingtin","NF"
"467","MTOR->ETS1","NF"
"468","MTOR->M-Ras","NF"
"469","MTOR->Beta-catenin","NF"
"470","MTOR->Sirtuin1","NF"
"471","MTOR->H-Ras","NF"
"472","MTOR->JNK2(MAPK9)","NF"
"473","MTOR->p53","NF"
"474","MTOR->Oct-3/4","NF"
"475","MTOR->AML1 (RUNX1)","NF"
"476","MTOR->PAK1","NF"
"477","MTOR->KLF5","NF"
"478","MTOR->HSP70","NF"
"479","MTOR->SIK","NF"
"480","MTOR->TFIIB","NF"
"481","MTOR->Cyclin B1","NF"
"482","MTOR->AFX1","NF"
"483","MTOR->VIL2 (ezrin)","NF"
"484","MTOR->CARM1","NF"
"485","MTOR->TC21","NF"
"486","MTOR->LEPR","NF"
"487","MTOR->GRB2","NF"
"488","MTOR->ATP1A1","NF"
"489","MTOR->MEK1/2","NF"
"490","MTOR->MITF","NF"
"491","MTOR->MUC1","NF"
"492","MTOR->ErbB3","NF"
"493","MTOR->Itch","NF"
"494","MTOR->LRP6","NF"
"495","MTOR->EGR1","NF"
"496","MTOR->PP1-cat","NF"
"497","MTOR->GSK3A","NF"
"498","MTOR->c-Fos","NF"
"499","MTOR->YB-1","NF"
"500","MTOR->PTEN","NF"
"501","MTOR->N-Myc","NF"
"502","MTOR->PIK3C3","NF"
"503","MTOR->IRS-1","NF"
"504","MTOR->JunB","NF"
"505","MTOR->RelB (NF-kB subunit)","NF"
"506","MTOR->Bcl-3","NF"
"507","MTOR->BMAL1","NF"
"508","MTOR->YY1","NF"
"509","MTOR->Aurora-A","NF"
"510","MTOR->ERK1 (MAPK3)","NF"
"511","MTOR->c-Jun","NF"
"512","MTOR->K-RAS","NF"
"513","MTOR->Synapsin I","NF"
"514","MTOR->PSD-95","NF"
"515","MTOR->DNA-PK","NF"
"516","MTOR->Laforin","NF"
"517","MTOR->CBP","NF"
"518","MTOR->Calpain 2(m)","NF"
"519","MTOR->STAT5B","NF"
"520","MTOR->PKC-delta","NF"
"521","MTOR->STAT1","NF"
"522","MTOR->MMP-2","NF"
"523","MTOR->REV-ERBalpha","NF"
"524","MTOR->PKC-alpha","NF"
"525","MTOR->Axin1","NF"
"526","MTOR->PKA-cat alpha","NF"
"527","MTOR->PI-TP","NF"
"528","MTOR->NR2B","NF"
"529","MTOR->Plectin 1","NF"
"530","MTOR->PtdIns(345)P3+H(2)O = PO(4)('3-)+PtdIns(45)P2","NF"
"531","MTOR->Rac1","NF"
"532","MTOR->TGF-alpha","NF"
"533","MTOR->IGF-1 receptor","NF"
"534","MTOR->IKK (cat)","NF"
"535","MTOR->JAK2","NF"
"536","MTOR->SOS","NF"
"537","MTOR->PDK (PDPK1)","NF"
"538","MTOR->Shc","NF"
"539","MTOR->I-kB","NF"
"540","MTOR->APC protein","NF"
"541","MTOR->Axin","NF"
"542","MTOR->FRAT1","NF"
"543","MTOR->HSF1","NF"
"544","MTOR->IKK-gamma","NF"
"545","MTOR->A-Raf-1","NF"
"546","MTOR->ERK1/2","NF"
"547","MTOR->ERK5 (MAPK7)","NF"
"548","MTOR->Kinase MYT1","NF"
"549","MTOR->CDC25B","NF"
"550","MTOR->Gephyrin","NF"
"551","MTOR->RIPK1","NF"
"552","MTOR->RAP-1A","NF"
"553","MTOR->VAV-2","NF"
"554","MTOR->p120GAP","NF"
"555","MTOR->ErbB2","NF"
"556","MTOR->R-Ras","NF"
"557","MTOR->CDC42","NF"
"558","MTOR->JAK1","NF"
"559","MTOR->SP1","NF"
"560","MTOR->TCF7L2 (TCF4)","NF"
"561","MTOR->Amphiregulin","NF"
"562","MTOR->ILK","NF"
"563","MTOR->Paxillin","NF"
"564","MTOR->SHP-2","NF"
"565","MTOR->Securin","NF"
"566","MTOR->Raptor","NF"
"567","MTOR->SynGAP","NF"
"568","MTOR->RHEB2","NF"
"569","MTOR->AFAP","NF"
"570","MTOR->Progesterone receptor","NF"
"571","MTOR->PP2A catalytic","NF"
"572","MTOR->Talin","NF"
"573","MTOR->Prolactin receptor","NF"
"574","MTOR->CDC25A","NF"
"575","MTOR->CDC25C","NF"
"576","MTOR->RIPK2","NF"
"577","MTOR->PKC-eta","NF"
"578","MTOR->Rictor","NF"
"579","MTOR->ESPL1","NF"
"580","MTOR->PKC-theta","NF"
"581","MTOR->NF-kB2 (p52)","NF"
"582","MTOR->WDR3","NF"
"583","MTOR->G-protein alpha-i2","NF"
"584","MTOR->RXR","NF"
"585","MTOR->PKC-epsilon","NF"
"586","MTOR->GRP78","NF"
"587","MTOR->PKC-mu","NF"
"588","MTOR->NF-kB1 (p50)","NF"
"589","MTOR->STAT5A","NF"
"590","MTOR->COL1A2","NF"
"591","MTOR->TRUB2","NF"
"592","MTOR->Lef-1","NF"
"593","MTOR->BRG1","NF"
"594","MTOR->PKC-lambda/iota","NF"
"595","GSK3B->MEK1(MAP2K1)","NF"
"596","GSK3B->C/EBPalpha","NF"
"597","GSK3B->MTOR","NF"
"598","GSK3B->NF-kB","NF"
"599","GSK3B->CREB1","NF"
"600","GSK3B->ADAM17","NF"
"601","GSK3B->RelA (p65 NF-kB subunit)","NF"
"602","GSK3B->PRKAA1","none"
