"#"	"Network Object ""FROM"""	"Object Type"	"Network Object ""TO"""	"Object Type"	"Effect"	"Mechanism"	"Homo sapiens"	"Link Info"	"References"
27	"c-Src"	"Protein kinase"	"RelA (p65 NF-kB subunit)"	"Transcription factor"	"Unspecified"	"Phosphorylation"	"x"	"thrombin induced the association of c-Src with RelA/p65 within 1 min and that this association was sustained for 1 h after stimulation. c-src phosphorylates p65."	"17012367"
28	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"CDC25C"	"Protein phosphatase"	"Inhibition"	"Phosphorylation"	"x"	"PKA phosphorylates cdc25C at Ser-287"	"12477927"
29	"p70 S6 kinase1"	"Protein kinase"	"mTOR"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"mTOR, in addition to its role as an activator of S6K, is a bona fide substrate of the latter."	"9465032;10567431;10971657;11279232;11914378;12150925;12150926;12604610;14679009;15809305;15854902;15896331;15899889;15905173;16183647;16452250;16679021;16922504;17041627"
30	"CaMKK2"	"Protein kinase"	"AMPK alpha 1 subunit"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"CaMKK2 forms a complex with and activates AMPK. CaMKK2 and AMPK associate through their kinase domains."	"21807092"
31	"CaMKK"	"Protein kinase"	"AMPK alpha 1 subunit"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"CAMKK alpha/beta phophorylates AMPK alpha 1 and increases its activity."	"17023420"
32	"DEPTOR"	"Generic binding protein"	"mTOR"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"novel mTOR-interacting protein DEPDC6/DEPTOR was identified whose deregulated overexpression in multiple myeloma cells represents a mechanism for activating PI3K/Akt signaling and promoting cell survival."	"19446321;20965424"
33	"CDK1 (p34)"	"Protein kinase"	"Separase"	"Generic protease"	"Inhibition"	"Binding"	"x"	"Separase interacts with Cdk1."	"15989971;17974570;20360068"
34	"c-Src"	"Protein kinase"	"AML1 (RUNX1)"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"RUNX1 is phosphorylated by SFKs."	"22759635"
35	"STAT3"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"STAT3 physically interacts with EGFR and increases its activity."	"9756944;12873986;14963038;15950906;16889899;20067773;20945942"
36	"MLK3(MAP3K11)"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"MLK3(MAP3K11) physically interacts with c-Raf-1 and increases its activity."	"16537381"
37	"EGFR"	"Receptor with enzyme activity"	"ERK2 (MAPK1)"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"ERK2 is a predicted substrate of EGFR."	"21214269;22609512"
38	"p90Rsk"	"Protein kinase"	"C/EBPbeta"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"p90Rsk phosphorylates C/EBPbeta on Thr 217 and activates downstream signaling"	"10635333;11684016"
39	"GSK3 beta"	"Protein kinase"	"NCOA1 (SRC1)"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"SRC-1 is phosphorylated by GSK3beta, likely regulating its activity and protein levels, the rs1804645 SNP resulting in a P1272S amino acid change is sufficient to disrupt this regulation, increasing SRC-1 stability while decreasing SRC-1 activity."	"22174377"
40	"GSK3 beta"	"Protein kinase"	"PKC-zeta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"GSK3beta directly phosphorylates aPKC zeta, which likely promotes its ubiquitin-mediated proteosomal degradation."	"11481324;17053159;19422025"
41	"GSK3 alpha/beta"	"Protein kinase"	"LRP6"	"Generic receptor"	"Activation"	"Phosphorylation"	"x"	"GSK3 phosphorylates LRP6"	"16341017;18362152"
42	"CaMKK2"	"Protein kinase"	"AMPK alpha subunit"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"CaMKKbeta phosphorylates AMPK alpha and induces it activity."	"16054096;18460329;20858278;21807092"
43	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Rictor"	"Generic binding protein"	"Activation"	"Binding"	"x"	"Tuberin physically interacts with  Rictor."	"18411301;19602587"
44	"p70 S6 kinase1"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"P70 S6 kinase1 phosphorylates GSK3 beta and decreases its activity."	"17052453;21422248"
45	"AP-1"	"Transcription factor"	"c-Raf-1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"AP-1 probably regulates gene RAF1 transcription."	"7916595"
46	"NF-AT1(NFATC2)"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Putative NF-AT1(NFATC2) binding site is found in gene TSC1 promoter."	"14597398"
47	"C/EBPbeta"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Inhibition"	"Transcription regulation"	"x"	"Upon C/EBP beta knockdown EGFR gene expression was upregulated."	"12095417;19103292"
48	"JNK(MAPK8-10)"	"Protein kinase"	"mTOR"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"JNK(MAPK8-10) binds to the promoter of mTOR."	"22179133"
49	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"ESR1 (nuclear)"	"Transcription factor"	"Inhibition"	"Binding"	"x"	"Tuberin physically interacts with  ESR1 (nuclear) and decreases its activity."	"15851513;18291711"
50	"GSK3 beta"	"Protein kinase"	"NRF2"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta inhibits Nrf2 nuclear localization and the attendant oxidative stress response, suggesting that negative regulation of oxidative stress response may be an ancient function of this enzyme."	"16551619;17586486;21245377"
51	"c-Abl"	"Protein kinase"	"mTOR"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"c-Abl binds directly to mTOR and phosphorylates mTOR in vitro and in vivo. c-Abl inhibits autophosphorylation of mTOR and mTOR-mediated phosphorylation p70(S6k)."	"10753870"
52	"p300"	"Generic enzyme"	"GSK3 beta"	"Protein kinase"	"Activation"	"Transcription regulation"	"x"	"ETS2 cooperates with p300 histone acetyltransferase to remodel chromatin and promote GSK-3beta expression."	"21441955"
53	"AKT(PKB)"	"Protein kinase"	"mTOR"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"AKT phosphorylates mTOR and increases its activity"	"14970221;15718470;17660512"
54	"Bcl-10"	"Generic binding protein"	"TFIIB"	"Generic binding protein"	"Activation"	"Binding"	"x"	"Bcl10 nuclear expression may modulate gene expression and Bcl10 is a potential transcriptional activator by interactions with general transcription factor TFIIB."	"15207693;17468049"
55	"AMPK alpha subunit"	"Protein kinase"	"Axin1"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"Protein kinase A phosphorylates Axin in vitro."	"10421629"
56	"p90RSK1"	"Protein kinase"	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"Active RSK1 interacts with the catalytic subunit of PKA . Binding of active RSK1 to PKA-cat increases interactions between PKA-cat and PKA-reg I and decreases the ability of cAMP to stimulate PKA."	"16738324"
57	"SRF"	"Transcription factor"	"Leptin receptor"	"Generic receptor"	"Unspecified"	"Transcription regulation"	"x"	"Lepr  is a transcriptional target of SRF."	"15699019"
58	"RACK1"	"Generic binding protein"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"RACK1 physically interacts with c-Raf-1 and increases its activity."	"17908799"
59	"mTORC2"	"Protein kinase"	"DEPTOR"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"Both mTORC1 and mTORC2 could phosphorylate DEPTOR.  DEPTOR phosphorylation by mTOR in response to growth signals, and in collaboration with casein kinase I (CKI), generates a phosphodegron that binds beta-TrCP."	"22017875"
60	"PtdIns(3,4,5)P3 + H(,2)O = PO(,4)('3-) + PtdIns(4,5)P2"	"Reaction"	"PtdIns(4,5)P2 intracellular"	"Compоund"	"Technical"	"Technical"	"x"		
61	"ESR1 (nuclear)"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"ESR1 (nuclear) coregulates and activates EGFR promoter."	"10830317;11887937;11968000;15031323;16092128;17013392"
62	"Hamartin"	"Generic binding protein"	"PLK1"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"Hamartin physically interacts with  PLK1 and decreases its activity."	"16339216;22474084"
63	"GSK3 beta"	"Protein kinase"	"RelB (NF-kB subunit)"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"RelB is inducibly phosphorylated by GSK-3beta."	"21217772"
64	"EGFR"	"Receptor with enzyme activity"	"PI3K reg class IA (p85)"	"Generic binding protein"	"Activation"	"Binding"	"x"	"p85 PI3K  interacts with EGFR."	"1372091;8264617;11172806;16055672;16273093;16477079"
65	"GSK3 beta"	"Protein kinase"	"MITF"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates and activates MITF"	"10587587;16899407"
66	"c-Src"	"Protein kinase"	"ERK1 (MAPK3)"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"ERK1 is an c-Src substrate."	"22499769"
67	"NCOA1 (SRC1)"	"Generic binding protein"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"SRC-1 interacts with proximal EGFR promoter."	"21080969"
68	"GSK3 beta"	"Protein kinase"	"NCOA3 (pCIP/SRC3)"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"The kinases that phosphorylate and activate SRC3 include MAPK, IKK, Akt (by inhibiting glycogen synthase kinase (GSK3alpha or GSK3beta) and casein kinase 1 isoform delta (CK1delta; also known as KC1D)."	"15383283;17574025;19701241;19843848;20956538"
69	"GSK3 beta"	"Protein kinase"	"C/EBPbeta"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK-3beta phosphorylated C/EBPbeta and inhibits it."	"15985551;16055922;17264204;20110283;21487015"
70	"mTOR"	"Protein kinase"	"c-Jun"	"Transcription factor"	"Unspecified"	"Phosphorylation"	"x"	"c-Jun is a putative mTOR target."	"21659604"
71	"EGFR"	"Receptor with enzyme activity"	"c-Myc"	"Transcription factor"	"Activation"	"Transcription regulation"	"x"	"The nuclear EGFR, Src and Stat3 complex is bound to the c-Myc promoter."	"21573184"
72	"CREB1"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"CREB1 interacts with proximal EGFR promoter."	"21080969"
73	"MEK2(MAP2K2)"	"Protein kinase"	"ERK1 (MAPK3)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"MEK2 binds and activates ERK1."	"7601337;7687743;8226933;8388392;8626767;9006895;11134045;14616089;14688022;16858395;17321481;17537614"
74	"Cyclin D"	"Generic binding protein"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Inhibition"	"Binding"	"x"	"Cyclin D has been found to associate with TSC2 in overexpression studies, and overexpression of CDK6-cyclin D complexes appears to increase phosphate incorporation into both TSC1 and TSC2."	"11348591;16357142;18466115"
75	"EGFR"	"Receptor with enzyme activity"	"C/EBPbeta"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"EGFR phosphorylates C/EBPbeta and increases its activity."	"12095417"
76	"GSK3 beta"	"Protein kinase"	"JunB"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta probably phosphorylates JunB."	"17570479;22710716"
77	"c-Src"	"Protein kinase"	"PKC-zeta"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"c-Src kinase phosphorylates PKC-zeta"	"8621384;10527887;16189514;20307614"
78	"HSP40"	"Generic binding protein"	"Huntingtin"	"Generic binding protein"	"Inhibition"	"Binding"	"x"	"HSP40 physically interacts with mutant Huntingtin and decreases its activity"	"10942430;15459747;17012230"
79	"NF-AT2(NFATC1)"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Putative NF-AT2(NFATC1) binding site is found in gene TSC1 promoter."	"14597398"
80	"MEK1(MAP2K1)"	"Protein kinase"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Phosphorylation"	"x"	"EGFR physically interacts with  MEK1(MAP2K1)."	"12556561;20562913"
81	"AMPK alpha 1 subunit"	"Protein kinase"	"PKC-theta"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"AMPK directle binds to PKC-theta and acts as an upstream kinase of PKC-theta in PMA/Io-activated Jurkat cells"	"22330070"
82	"p90RSK1"	"Protein kinase"	"Rictor"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"Rictor is a direct target of the ribosomal protein S6 kinase-1 (S6K1).Rictor phosphorylation at Thr1135 does not lead to major changes in mTORC2-kinase activity."	"19720745;19935711"
83	"PKA-cat (cAMP-dependent)"	"Protein kinase"	"CDC25B"	"Protein phosphatase"	"Inhibition"	"Phosphorylation"	"x"	"PKA-cat (cAMP-dependent) phosphorylates and inhibits CDC25B"	"12477927;15371306"
84	"PtdIns(4,5)P2 intracellular"	"Compоund"	"ATP + PtdIns(4,5)P2 = ADP + PtdIns(3,4,5)P3"	"Reaction"	"Technical"	"Technical"	"x"		
85	"STAT5"	"Transcription factor"	"Bcl-10"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"STAT5 binds to intronic region of BCL10 gene and STAT5 positively regulates BCL10 expression."	"19709433"
86	"HNF4-alpha"	"Transcription factor"	"AMPK beta1"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Transcription regulation of AMPK beta1 by HNF4-alpha was shown by chromatin immunoprecipitation  and chip-on-chip assay."	"14988562"
87	"ATP + PtdIns(4,5)P2 = ADP + PtdIns(3,4,5)P3"	"Reaction"	"PtdIns(3,4,5)P3 intracellular"	"Compоund"	"Technical"	"Technical"	"x"		
88	"c-Myc"	"Transcription factor"	"Hamartin"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"c-Myc associates with Hamartin gene promoter."	"14597398;17093053;19118200"
89	"c-Myc"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Unspecified"	"Transcription regulation"	"x"	"c-Myc can bind to gene ITGB4 promoter."	"16391002;19915707"
90	"NCOA3 (pCIP/SRC3)"	"Generic binding protein"	"CARM1"	"Generic enzyme"	"Activation"	"Binding"	"x"	"NCOA3 (pCIP/SRC3) interacts with CARM1."	"15383283;16923966;16938873;17043108;17306620;18511550"
91	"GCR-alpha"	"Transcription factor"	"Bcl-10"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Putative GCR-alpha binding site is found in gene BCL10 promoter."	"19714753"
92	"Androgen receptor"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Inhibition"	"Binding"	"x"	"Dihydrotestosterone (DHT) treatment increased both EGFR mRNA and protein levels and stimulated RNA polymerase II recruitment to the EGFR gene promoter  in LNCaP cells."	"12534934;15288768;15305378;15861399;16376012;16598769;19318561;21602788"
93	"GSK3 beta"	"Protein kinase"	"NF-kB2 (p52)"	"Transcription factor"	"Unspecified"	"Phosphorylation"	"x"	"GSK3b Phosphorylates p52 at Serine 222."	"20513428"
94	"EGFR"	"Receptor with enzyme activity"	"AKT1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"It was shown an increased phosphorylation of Ser473 of Akt when EGFR overexpressing cells are acutely stimulated with EGF."	"11030146;17139251;21214269"
95	"PAX3"	"Transcription factor"	"LKB1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"LKB1 promoter contains putative PAX3 binding site."	"21923952"
96	"GSK3 beta"	"Protein kinase"	"REV-ERBalpha"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"Rev-erbalpha protein levels are regulated by GSK3beta-dependent phosphorylation."	"16484495;16968709;20414452"
97	"mTOR"	"Protein kinase"	"YY1"	"Transcription factor"	"Activation"	"Binding"	"x"	"mTOR binds with YY1 and increases its activity"	"18046414"
98	"ESR1 (nuclear)"	"Transcription factor"	"AMPK alpha 1 subunit"	"Protein kinase"	"Inhibition"	"Transcription regulation"	"x"	"Using a chromatin immunoprecipitation-paired end diTag cloning and sequencing strategy it was identified ESR1 (nuclear) binding site on AMPK alpha 1 subunit."	"17542648"
99	"B-Raf"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Binding"	"x"	"Heterodimerization of Raf isoforms via 14-3-3 also appears to play a critical role as B-Raf has been shown to augment C-Raf activation."	"11325826;15035987;16364920;16508002;16537381;16803888;16858395;18562239;19933846;20130576;20141835"
100	"AKT(PKB)"	"Protein kinase"	"Bcl-10"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"AKT(PKB) phosphorylates Bcl-10 and increases its activity."	"16508008;17468049"
101	"c-Src"	"Protein kinase"	"NF-AT2(NFATC1)"	"Transcription factor"	"Inhibition"	"Binding"	"x"	"NFATc1 interacts endogenously with c-Src, c-Cbl, and Cbl-b in osteoclasts. Overexpression of c-Src induces down-regulation of NFATc1 and depletion of Cbl proteins blocks NFATc1 degradation during late-stage osteoclastogenesis."	"20037154"
102	"PLK1"	"Protein kinase"	"Cyclin B1"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"PLK1 phosphorylates Cyclin B1 and induces its nuclear translocation."	"11242082;20936779"
103	"c-Raf-1"	"Protein kinase"	"PKC-theta"	"Protein kinase"	"Activation"	"Binding"	"x"	"C-Raf-1 physically interacts with PKC-theta and increases its activity."	"17011751"
104	"AMPK alpha 1 subunit"	"Protein kinase"	"p300"	"Generic enzyme"	"Activation"	"Phosphorylation"	"x"	"AMPK alpha 1 subunit phosphorylates p300 and increases its activity."	"15342649;18585896;21940946"
105	"GSK3 beta"	"Protein kinase"	"SREBP1 (nuclear)"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta plays a role in regulating the activity of ADD1/SREBP1 by inhibiting SREBP1 by phosphorylalion."	"15466874;19126544"
106	"GSK3 beta"	"Protein kinase"	"H-Ras"	"RAS - superfamily"	"Inhibition"	"Phosphorylation"	"x"	"H-Ras polyubiquitylation and degradation by b-TrCP are tightly associated with GSK3b activity."	"22494971"
107	"c-Myc"	"Transcription factor"	"mTOR"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Binding of c-Myc to mTOR was shown by using an unbiased genome-wide location-analysis approach ."	"12808131;19796622"
108	"RARalpha"	"Transcription factor"	"c-Src"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"RARalpha physically interacts with c-Src."	"10454579;12612084;17363140;19884340;20338915"
109	"p90RSK1"	"Protein kinase"	"MITF"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"p90RSK1 phosphorylates and activates MITF"	"10673502;14645519;16899407;17314970"
110	"PKC"	"Protein kinase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"PKC physically interacts with c-Raf-1 and increases its activity"	"9447975;11171046;17537614"
111	"NRF2"	"Transcription factor"	"Bcl-10"	"Generic binding protein"	"Unspecified"	"Transcription regulation"	"x"	"Bcl-10 promoter region contains putative NRF2 binding site."	"17409198"
112	"GSK3 alpha/beta"	"Protein kinase"	"Gephyrin"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"Gephyrin contains GSK3 alpha/beta phosphorylation consensus sequence. In vivo phosphorylation has previously been identified by large-scale phosphoproteomic studies."	"21606488"
113	"AMPK alpha subunit"	"Protein kinase"	"CREB1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"Recombinant and rat liver and muscle AMPK phosphorylates CREB1."	"18063805"
114	"c-Raf-1"	"Protein kinase"	"PLK1"	"Protein kinase"	"Activation"	"Binding"	"x"	"C-Raf binds to Plk1 and activates it."	"22081024"
115	"GSK3 beta"	"Protein kinase"	"c-Jun"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta physically interacts with  c-Jun."	"1846781;14637155;16023596;21629754;22307329"
116	"p90RSK1"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"p90rsk1 directlty phosphorylates GSK3 beta on Ser-9 and inhibites its activity"	"7980435;16039586;21372320"
117	"c-Src"	"Protein kinase"	"Androgen receptor"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"c-Src phosphorylates Androgen receptor and increases its activity."	"11032808;15027889;15062576;15466214;17045208;17108144;18674639"
118	"ESR2"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Unspecified"	"Transcription regulation"	"x"	"EGFR promoter contains an imperfect estrogen response element and is up- or down-regulated by ESR2 in different cells."	"12894229;19347870;22266872"
119	"GSK3 beta"	"Protein kinase"	"Aurora-A"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"GSK-3 beta phosphorylates and inhibits Aurora A."	"14724178;19060929"
120	"p73"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Activation"	"Transcription regulation"	"x"	"The p53 family members TAp63 and TAp73 strongly activate beta4 transcription. Both p63 and p73 were present on the ITGB4 promoter."	"19567674"
121	"C/EBPbeta"	"Transcription factor"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Unspecified"	"Transcription regulation"	"x"	"C/EBPbeta can bind to gene Tuberin promoter."	"9831664"
122	"NOTCH1 (NICD)"	"Generic binding protein"	"WDR3"	"Protein"	"Activation"	"Transcription regulation"	"x"	"By ChIP-on-chip data it was shown that NOTCH1 stimulates WDR3."	"17114293"
123	"GSK3 beta"	"Protein kinase"	"NOTCH1 (NICD)"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"GSK-3beta enhanced nuclear localization and transcriptional activity of WT NICD by phosphorylation of S/T-P-S/T domain"	"12123574;18440314;22640738"
